Gene	KL_4.2cnONLYchina	MKL_4.2cnONLYchina
Rv0001	5.3187850790337166e-09	0.9989977249072011
Rv0002	2.8630862523582046e-06	1.000484180056516
Rv0003	-1.0491272295354293e-09	0.9999917437727981
Rv0004	7.722838757384665e-09	1.000028166592767
Rv0005	5.646274003900942e-10	0.9999962550103968
Rv0006	8.240253354663274e-07	0.9959836680116412
Rv0007	-5.6030389579686535e-06	0.9976997348788921
Rv0008c	-6.047262135489007e-10	0.9996445746659616
Rv0009	-5.740442010626623e-10	0.9999971569418179
Rv0010c	2.2799547287399857e-05	1.0005424210546088
Rv0011c	1.7922596129427149e-07	1.0008851567732544
Rv0012	1.4130643275322985e-05	1.0005894679360547
Rv0013	2.1942546113429273e-09	1.0000083570067355
Rv0014c	2.628454232045385e-09	1.0000049998008298
Rv0015c	3.992326524926426e-09	1.0000182836856377
Rv0016c	1.191523946175721e-08	1.0000592642083868
Rv0017c	1.744849542628657e-09	1.0000078991156778
Rv0018c	4.676531162317588e-09	1.000279031694067
Rv0019c	0.0	1.0
Rv0020c	5.158081184397645e-10	0.9999954832424799
Rv0021c	3.3537487231782848e-09	0.9977570671434388
Rv0022c	2.9095856279859333e-09	1.000013172503872
Rv0023	5.107060085940418e-08	1.00024924295728
Rv0024	2.4862653047463823e-09	1.000011987914033
Rv0025	2.327031932486401e-05	1.1152504835574584
Rv0026	-1.6374891442794137e-09	0.9999921449621536
Rv0027	1.5382805029773294e-09	0.9999750320038326
Rv0028	0.0	1.0000158701414574
Rv0029	4.109544371466711e-10	0.9999086478033496
Rv0030	-6.902663607366577e-09	0.9999635153625527
Rv0032	8.123060256659542e-07	1.0000837982645892
Rv0033	0.0	1.0
Rv0034	4.501758021913105e-09	1.000025892331359
Rv0035	1.7254438433589314e-09	1.0000069398864833
Rv0036c	7.825548658191295e-06	1.000159999762762
Rv0037c	1.3564141476685165e-10	1.000000045914774
Rv0038	-3.735630749179819e-09	0.9999789542532368
Rv0039c	-3.472877671778507e-05	0.9999877150442494
Rv0040c	9.294154335037774e-10	1.0000142324611878
Rv0041	1.0334596136085672e-06	1.0000672209527706
Rv0042c	4.383240603811345e-09	1.0000205534778697
Rv0043c	1.0059891253355602e-09	1.000004525159256
Rv0044c	-1.0693451124588194e-09	0.9999942100845538
Rv0045c	1.1475488337353568e-09	1.0000059744900944
Rv0046c	4.313147505818904e-09	1.0000204566022242
Rv0047c	0.0	1.0
