4.2_meanYBP	4.2_dndo
1	3.9356195088464614
2	3.9356195088464614
3	3.9356195088464614
4	3.9356195088464614
5	3.9356195088464614
6	3.9356195088464614
7	3.9356195088464614
8	3.9356195088464614
9	3.9356195088464614
10	3.9356195088464614
11	3.9356195088464614
12	3.9356195088464614
13	3.9356195088464614
14	3.9356195088464614
15	3.9356195088464614
16	3.9356195088464614
17	3.9356195088464614
18	3.9356195088464614
19	3.9356195088464614
20	3.9356195088464614
21	3.9356195088464614
22	3.9356195088464614
23	3.9356195088464614
24	3.9356195088464614
25	3.9356195088464614
26	3.9356195088464614
27	3.9356195088464614
28	3.9356195088464614
29	3.9356195088464614
30	3.9356195088464614
31	3.9356195088464614
32	3.9356195088464614
33	3.9356195088464614
34	3.9356195088464614
36	1.6380611899162163
37	1.6380611899162163
38	1.6380611899162163
39	1.6380611899162163
40	1.6380611899162163
41	1.6380611899162163
42	1.6380611899162163
43	1.6380611899162163
44	1.6380611899162163
45	1.6380611899162163
46	1.6380611899162163
47	1.6380611899162163
48	1.6380611899162163
49	1.6380611899162163
50	1.6380611899162163
51	1.6380611899162163
52	1.6380611899162163
53	1.6380611899162163
54	1.6380611899162163
55	1.6380611899162163
56	1.6380611899162163
57	1.6380611899162163
58	1.6380611899162163
59	1.6380611899162163
60	1.6380611899162163
61	1.6380611899162163
62	1.6380611899162163
63	1.6380611899162163
64	1.6380611899162163
65	1.6380611899162163
66	1.6380611899162163
67	1.6380611899162163
68	1.6380611899162163
69	1.6380611899162163
70	1.6380611899162163
72	2.6658448359452716
73	2.6658448359452716
74	2.6658448359452716
75	2.6658448359452716
76	2.6658448359452716
77	2.6658448359452716
78	2.6658448359452716
79	2.6658448359452716
80	2.6658448359452716
81	2.6658448359452716
82	2.6658448359452716
83	2.6658448359452716
84	2.6658448359452716
85	2.6658448359452716
86	2.6658448359452716
87	2.6658448359452716
88	2.6658448359452716
89	2.6658448359452716
90	2.6658448359452716
91	2.6658448359452716
92	2.6658448359452716
93	2.6658448359452716
94	2.6658448359452716
95	2.6658448359452716
96	2.6658448359452716
97	2.6658448359452716
98	2.6658448359452716
99	2.6658448359452716
100	2.6658448359452716
101	2.6658448359452716
102	2.6658448359452716
103	2.6658448359452716
104	2.6658448359452716
105	2.6658448359452716
106	2.6658448359452716
108	2.1598743115843426
109	2.1598743115843426
110	2.1598743115843426
111	2.1598743115843426
112	2.1598743115843426
113	2.1598743115843426
114	2.1598743115843426
115	2.1598743115843426
116	2.1598743115843426
117	2.1598743115843426
118	2.1598743115843426
119	2.1598743115843426
120	2.1598743115843426
121	2.1598743115843426
122	2.1598743115843426
123	2.1598743115843426
124	2.1598743115843426
125	2.1598743115843426
126	2.1598743115843426
127	2.1598743115843426
128	2.1598743115843426
129	2.1598743115843426
130	2.1598743115843426
131	2.1598743115843426
132	2.1598743115843426
133	2.1598743115843426
134	2.1598743115843426
135	2.1598743115843426
136	2.1598743115843426
137	2.1598743115843426
138	2.1598743115843426
139	2.1598743115843426
140	2.1598743115843426
141	2.1598743115843426
143	1.7742027219026468
144	1.7742027219026468
145	1.7742027219026468
146	1.7742027219026468
147	1.7742027219026468
148	1.7742027219026468
149	1.7742027219026468
150	1.7742027219026468
151	1.7742027219026468
152	1.7742027219026468
153	1.7742027219026468
154	1.7742027219026468
155	1.7742027219026468
156	1.7742027219026468
157	1.7742027219026468
158	1.7742027219026468
159	1.7742027219026468
160	1.7742027219026468
161	1.7742027219026468
162	1.7742027219026468
163	1.7742027219026468
164	1.7742027219026468
165	1.7742027219026468
166	1.7742027219026468
167	1.7742027219026468
168	1.7742027219026468
169	1.7742027219026468
170	1.7742027219026468
171	1.7742027219026468
172	1.7742027219026468
173	1.7742027219026468
174	1.7742027219026468
175	1.7742027219026468
176	1.7742027219026468
177	1.7742027219026468
179	4
180	4
181	4
182	4
183	4
184	4
185	4
186	4
187	4
188	4
189	4
190	4
191	4
192	4
193	4
194	4
195	4
196	4
197	4
198	4
199	4
200	4
201	4
202	4
203	4
204	4
205	4
206	4
207	4
208	4
209	4
210	4
211	4
212	4
213	4
215	4.5
216	4.5
217	4.5
218	4.5
219	4.5
220	4.5
221	4.5
222	4.5
223	4.5
224	4.5
225	4.5
226	4.5
227	4.5
228	4.5
229	4.5
230	4.5
231	4.5
232	4.5
233	4.5
234	4.5
235	4.5
236	4.5
237	4.5
238	4.5
239	4.5
240	4.5
241	4.5
242	4.5
243	4.5
244	4.5
245	4.5
246	4.5
247	4.5
248	4.5
249	4.5
251	4.5
252	4.5
253	4.5
254	4.5
255	4.5
256	4.5
257	4.5
258	4.5
259	4.5
260	4.5
261	4.5
262	4.5
263	4.5
264	4.5
265	4.5
266	4.5
267	4.5
268	4.5
269	4.5
270	4.5
271	4.5
272	4.5
273	4.5
274	4.5
275	4.5
276	4.5
277	4.5
278	4.5
279	4.5
280	4.5
281	4.5
282	4.5
283	4.5
284	4.5
286	4.5
287	4.5
288	4.5
289	4.5
290	4.5
291	4.5
292	4.5
293	4.5
294	4.5
295	4.5
296	4.5
297	4.5
298	4.5
299	4.5
300	4.5
301	4.5
302	4.5
303	4.5
304	4.5
305	4.5
306	4.5
307	4.5
308	4.5
309	4.5
310	4.5
311	4.5
312	4.5
313	4.5
314	4.5
315	4.5
316	4.5
317	4.5
318	4.5
319	4.5
320	4.5
322	0.026483899641971002
323	0.026483899641971002
324	0.026483899641971002
325	0.026483899641971002
326	0.026483899641971002
327	0.026483899641971002
328	0.026483899641971002
329	0.026483899641971002
330	0.026483899641971002
331	0.026483899641971002
332	0.026483899641971002
333	0.026483899641971002
334	0.026483899641971002
335	0.026483899641971002
336	0.026483899641971002
337	0.026483899641971002
338	0.026483899641971002
339	0.026483899641971002
340	0.026483899641971002
341	0.026483899641971002
342	0.026483899641971002
343	0.026483899641971002
344	0.026483899641971002
345	0.026483899641971002
346	0.026483899641971002
347	0.026483899641971002
348	0.026483899641971002
349	0.026483899641971002
350	0.026483899641971002
351	0.026483899641971002
352	0.026483899641971002
353	0.026483899641971002
354	0.026483899641971002
355	0.026483899641971002
356	0.026483899641971002
358	0.0
359	0.0
360	0.0
361	0.0
362	0.0
363	0.0
364	0.0
365	0.0
366	0.0
367	0.0
368	0.0
369	0.0
370	0.0
371	0.0
372	0.0
373	0.0
374	0.0
375	0.0
376	0.0
377	0.0
378	0.0
379	0.0
380	0.0
381	0.0
382	0.0
383	0.0
384	0.0
385	0.0
386	0.0
387	0.0
388	0.0
389	0.0
390	0.0
391	0.0
393	4.5
394	4.5
395	4.5
396	4.5
397	4.5
398	4.5
399	4.5
400	4.5
401	4.5
402	4.5
403	4.5
404	4.5
405	4.5
406	4.5
407	4.5
408	4.5
409	4.5
410	4.5
411	4.5
412	4.5
413	4.5
414	4.5
415	4.5
416	4.5
417	4.5
418	4.5
419	4.5
420	4.5
421	4.5
422	4.5
423	4.5
424	4.5
425	4.5
426	4.5
427	4.5
429	4.5
430	4.5
431	4.5
432	4.5
433	4.5
434	4.5
435	4.5
436	4.5
437	4.5
438	4.5
439	4.5
440	4.5
441	4.5
442	4.5
443	4.5
444	4.5
445	4.5
446	4.5
447	4.5
448	4.5
449	4.5
450	4.5
451	4.5
452	4.5
453	4.5
454	4.5
455	4.5
456	4.5
457	4.5
458	4.5
459	4.5
460	4.5
461	4.5
462	4.5
463	4.5
465	4.5
466	4.5
467	4.5
468	4.5
469	4.5
470	4.5
471	4.5
472	4.5
473	4.5
474	4.5
475	4.5
476	4.5
477	4.5
478	4.5
479	4.5
480	4.5
481	4.5
482	4.5
483	4.5
484	4.5
485	4.5
486	4.5
487	4.5
488	4.5
489	4.5
490	4.5
491	4.5
492	4.5
493	4.5
494	4.5
495	4.5
496	4.5
497	4.5
498	4.5
499	4.5
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
